EVTOPTA_EADAS_6001;Borrow 50 gold;Emprunter 50 piиces d'or;50 Goldstьcke borgen;;Tomar prestado 50 de oro;;;;;;;;;x
EVTOPTB_EADAS_6001;Borrow 250 gold;Emprunter 250 piиces d'or;250 Goldstьcke borgen;;Tomar prestado 250 de oro;;;;;;;;;x
EVTOPTC_EADAS_6001;Borrow 500 gold;Emprunter 500 piиces d'or;500 Goldstьcke borgen;;Tomar prestado 500 de oro;;;;;;;;;x
EVTOPTD_EADAS_6001;Borrow nothing;Ne pas emprunter;Nichts borgen;;No tomar prestado nada;;;;;;;;;x
EVTDESC_EADAS_6005;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nYour generous gift to the Order shall not be forgotten. The money will come to good use in the defense against those who threaten the true faith. \n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6005;Excellent.;Excellent.;Hervorragend.;;Excelente.;;;;;;;;;x
EVTDESC_EADAS_6209_B;Tired after a long day's work, I absentmindedly raise the cup to my mouth and drain it in one big swallow. I sigh with relief, savoring this one carefree moment. Then I notice the bitter aftertaste on my tongue...;Fatiguй[Root.Get_E] aprиs une longue journйe de travail, je lиve ma coupe vers ma bouche et la vide d'une traite. Je pousse un soupir de soulagement, savourant ce moment paisible. Puis je remarque soudain l'arriиre-goыt amer sur ma langue...;Mьde nach einem langen Arbeitstag hebe ich die Tasse gedankenverloren an meinen Mund und leere sie mit einem Schluck. Ich seufze vor Erleichterung auf, genieЯe diesen sorglosen Augenblick. Dann bemerke ich den bitteren Nachgeschmack auf meiner Zunge ...;;Tras una larga y agotadora jornada de trabajo, he agarrado la copa de manera inconsciente y he apurado la bebida de un trago. He suspirado con alivio mientras saboreaba el minuto de descanso. De repente he detectado un regusto amargo en la lengua...;;;;;;;;;x
EVTOPTA_EADAS_6209;P... poison?!;;;;;;;;;;x
EVTOPTA_EADAS_6209_TOOLTIP_A;You search your chambers for clues...\n;;;;;;;;;;x
EVTOPTA_EADAS_6209_TOOLTIP_B;You suddenly feel violently ill...\n;;;;;;;;;;x
EVTDESC_EADAS_6210;It only takes me a moment to find it – on the tray from which I grabbed the cup is a sealed letter. I know that symbol. With shaking hands, I tear it open. "This is not your last day, [Root.GetFirstName]. Our patience, however, is not endless. We will claim that which we are owed. The money or your life – that is up to you.";;;;;;;;;;x
EVTOPTA_EADAS_6210;I cannot risk the fury of [Root.Society.GetName].;;;;;;;;;;x
EVTOPTA_EADAS_6210_TOOLTIP;You pay back the money you owe.;;;;;;;;;x
EVTOPTB_EADAS_6210;A vulgar ploy! I do not fold so easily.;;;;;;;;;;x
EVTOPTB_EADAS_6210_TOOLTIP;You refuse to pay back the money you owe.\n;;;;;;;;;;x
EVTDESC_EADAS_6020_A;Most guests have departed and evening has turned into early morning, yet [assassins_recruiter.GetTitledFirstName] and I are still deep in conversation. We are talking about religion, righteousness, how to do the right thing. [assassins_recruiter.GetFirstName] suggests that giving alms and fasting must surely bring mortals closer to the divine.;;;;;;;;;;x
EVTDESC_EADAS_6020_B;Most guests have departed and evening has turned into early morning, yet I and [assassins_recruiter.GetTitledFirstName] are still deep in conversation. We discussштп the events at the Scarlet Mountain and the fall of Shurdum. [assassins_recruiter.GetSheHeCap] suggest that He suggests that the official interpretation of these events is not entirely correct, and the acquisition of divinity for VERIAL is a real fact, like the self-sacrifice of Saint Navruz.;;;;;;;;;;x
EVTOPTA_EADAS_6020_NOTMUSLIM;Those are noble actions, indeed.;;;;;;;;;;x
EVTOPTA_EADAS_6020_MUSLIM;Perhaps you are right. I tend to find this interpretation of events more convincing.;;;;;;;;;;x
EVTOPTB_EADAS_6020_NOTMUSLIM;Like the dark elven infidels? Never!;;;;;;;;;;x
EVTOPTB_EADAS_6020_MUSLIM;[assassins_recruiter.GetFirstName], you sound like a mindless follower of False Triarchy!;;;;;;;;;;x
EVTDESC_EADAS_6021_A;I approached [From.GetTitledFirstName] during a feast last night, intending to figure out whether [From.GetSheHe] might be persuaded to convert to the true faith. We had a long, deep conversation and it seems like [From.GetFirstName] is of sound opinions!;;;;;;;;;;x
EVTDESC_EADAS_6021_B;Last night I approached [From.GetTitledFirstName] during a feast, intending to figure out whether [From.GetSheHe] might be persuaded to convert to the true faith. Unfortunately, as soon I steered the conversation towards the topics of the Triarchy and the Saint Navruz, the narrow-minded [From.GetManWoman] became quite disagreeable...;;;;;;;;;;x
EVTOPTA_EADAS_6021_TOOLTIP;Continue in your attempt to recruit §Y[From.GetTitledFirstName]§! to [Root.Society.GetName].;;;;;;;;;;x
EVTOPTB_EADAS_6021;This is not enough. Proceeding would be too great a risk.;;;;;;;;;;x
EVTOPTC_EADAS_6021;Me, a "[GetFromRootInsult]"? That [GetRootFromInsult] is one to talk!;;;;;;;;;;x
EVTOPTB_EADAS_6021_TOOLTIP;End your attempt to recruit §Y[From.GetTitledFirstName]§! to [Root.Society.GetName].;;;;;;;;;;x
EVTDESC_EADAS_6022_A;Since I had such a good time a few weeks back, I invited [assassins_recruiter.GetTitledFirstName] to share an informal meal. Yet again the conversation found its way to the topic of religion and righteousness. [assassins_recruiter.GetSheHeCap] expressed [assassins_recruiter.GetHerHis] admiration for those willing to give their life fighting for their beliefs.;;;;;;;;;;x
EVTDESC_EADAS_6022_B;Most guests have departed and evening has turned into early morning, yet [assassins_recruiter.GetTitledFirstName] and I are still deep in conversation. We are talking about religion, righteousness, how to do the right thing. [assassins_recruiter.GetSheHeCap] expresses [assassins_recruiter.GetHerHis] admiration for those willing to give their life fighting for their beliefs.;;;;;;;;;;x
EVTOPTA_EADAS_6022;I agree, [assassins_recruiter.GetFirstName]. If only I could be more like them.;;;;;;;;;;x
EVTOPTB_EADAS_6022;I have little regard for fanatics!;;;;;;;;;;x
EVTDESC_EADAS_6023_A;I was just about to draft an invitation when [From.GetTitledFirstName] invited me to dine with [From.GetHerHim]. We talked for many hours, even as the plates were emptied and the cups drained. As I praised those willing to die for their faith, [From.GetFirstName] agreed wholeheartedly, wishing [From.GetSheHe] could be more like them.;;;;;;;;;;x
EVTDESC_EADAS_6023_B;I was just about to draft an invitation when [From.GetTitledFirstName] invited you to dine with [From.GetHerHim]. The conversation flowed easily and [From.GetFirstName] expressed many admirable sentiments. However, when I mentioned those willing to die for their beliefs, [From.GetSheHe] sneered and condemned "such fanatics".;;;;;;;;;;x
EVTOPTA_EADAS_6023;I think the time has come to ask the question.;;;;;;;;;;x
EVTOPTA_EADAS_6023_TOOLTIP;Invite §Y[From.GetTitledFirstName]§! to join [Root.Society.GetName].;;;;;;;;;;x
EVTOPTB_EADAS_6023;Although I fear [From.GetFirstName] is unwilling to fight, [From.GetHerselfHimself].;;;;;;;;;;x
EVTOPTC_EADAS_6023;"Fanatics"? [From.GetFirstName] is blind to the righteousness of our ways!;;;;;;;;;;x
EVTDESC_EADAS_6024_A;We are quiet for a moment, both seemingly contemplating these devoted souls. Then [From.GetFirstName] looks up at me, a curious intensity in [From.GetHerHis] gaze. "That is not an impossible wish, [Root.GetFirstName]. Are you ready to kill and, if She wills it, get killed to defend the words of Her Prophet and the Triarchy?";;;;;;;;;;x
EVTOPTA_EADAS_6024;I am, [From.GetFirstName]. And you say there is a way?;;;;;;;;;;x
EVTOPTA_EADAS_6024_TOOLTIP;Ask §Y[From.GetTitledFirstName]§! what you can do to serve a greater cause.;;;;;;;;;;x
EVTOPTB_EADAS_6024;What nonsense are you speaking, [From.GetFirstName]?;;;;;;;;;;x
EVTOPTB_EADAS_6024_TOOLTIP;Dismiss §Y[From.GetTitledFirstName]'s§! question and end the dinner.;;;;;;;;;;x
EVTDESC_EADAS_6025;When I suggested there is a way for [From.GetTitledFirstName] to serve the greater good, [From.GetSheHe] only scoffed dismissively and changed the subject. Judging by the look [From.GetSheHe] gave me as I left, however, it seems as if [From.GetFirstName] is not so oblivious after all...;;;;;;;;;;x
EVTOPTA_EADAS_6025;[From.GetSheHeCap] is all grand words but lacks true courage. Disappointing.;;;;;;;;;;x
EVTDESC_EADAS_6026;When I suggested there is a way for [From.GetTitledFirstName] to serve the greater good, [From.GetHerHis] eyes lit up with a glimmer of hope. "I am ready, [Root.GetFirstName]. Please, if it is true, will you set me on this path?";;;;;;;;;;x
EVTOPTA_EADAS_6026;Someone will get in touch with you shortly, [From.GetFirstName].;;;;;;;;;;x
EVTOPTA_EADAS_6026_TOOLTIP;Write a letter to the order about §Y[From.GetTitledFirstName]'s§! induction. [assassins_inductor.GetSocietyRank] §Y[assassins_inductor.GetFirstName]§! will handle it from here.;;;;;;;;;;x
EVTDESC_EADAS_6027_A;"I do, [Root.GetFirstName]," says [From.GetTitledFirstName] with a solemn, almost ceremonial, voice. "There is an Order devoted to Reanna and the rightful Triarchy. One that defends those true of faith and bring vengeance to their persecutors. [Root.Society.GetName] are always in need of champions. Think it over, and someone might reach out...";;;;;;;;;;x
EVTOPTA_EADAS_6027;Me, an Assassin? Perhaps this is my destiny...;;;;;;;;;;x
EVTOPTA_EADAS_6027_TOOLTIP;Think things over while you wait for someone to get in touch.;;;;;;;;;;x
EVTDESC_EADAS_6028;My eyes open, seeing only darkness. For a moment, my mind is blank, before the first thoughts get through the haze of sleep. Why did I wake up? A deep [Root.GetManWoman]'s voice cuts through the silence, startling me. "The time has come for you to profess your devoutness to Reanna and the Triarchy.";;;;;;;;;;x
EVTOPTA_EADAS_6028_A;Navruz guide me! Glory to Triarchy!;;;;;;;;;;x
EVTOPTA_EADAS_6028_TOOLTIP;Declare your devoutness to the Triarchy.;;;;;;;;;;x
EVTOPTB_EADAS_6028;I will shout their names from the rooftops! Glory to Triarchy!;;;;;;;;;;x
EVTOPTB_EADAS_6028_TOOLTIP;Openly convert to the Church of Triarchy.\n;;;;;;;;;;x
EVTOPTC_EADAS_6028;I will carry out Reanna's wishes in secret, no matter the risk.;;;;;;;;;;x
EVTOPTC_EADAS_6028_TOOLTIP;Secretly convert to the Church of Triarchy. You may openly covert at a later time.\n;;;;;;;;;;x
EVTOPTD_EADAS_6028;I... I'm not sure I have what it takes.;;;;;;;;;;x
EVTOPTD_EADAS_6028_TOOLTIP;Do not declare your devoutness.;;;;;;;;;;x
EVTDESC_EADAS_6029;"Excellent." I turn my head towards the voice. A hooded figure steps out of the shadows by the [Root.GetChamberOpening] and a hand appears from underneath the cloak, holding out a piece of parchment. "Before we continue, you must sign this. A written pledge of allegiance to the Grand Master of [Root.Society.GetName]. A routine... safety measure.";;;;;;;;;;x
EVTOPTA_EADAS_6029;Of course. One moment, let me find a quill...;;;;;;;;;;x
EVTOPTA_EADAS_6029_TOOLTIP;Sign the pledge of allegiance.;;;;;;;;;;x
EVTOPTB_EADAS_6029;But this could be used against me!;;;;;;;;;;x
EVTOPTB_EADAS_6029_TOOLTIP;Refuse to sign the pledge of allegiance.;;;;;;;;;;x
EVTDESC_EADAS_6030;As soon as I lift the tip of the quill from the parchment the hooded [Root.GetManWoman] snatches it from the desk. "The Grand Master will be pleased, [Root.GetTitledFirstName]. You will receive an invitation to our stronghold, but for now, go back to bed. You will need the rest." The next moment, [Root.GetSheHe] is gone.;;;;;;;;;;x
EVTOPTA_EADAS_6030;Farewell... I suppose.;;;;;;;;;;x
EVTOPTA_EADAS_6030_TOOLTIP;Now all you can do is wait.;;;;;;;;;;x
EVTDESC_EADAS_6033;Three Blessings, [Root.GetTitledFirstName]\nYou are hereby invited to [Root.Society.GetName] stronghold in [inductor_rendezvous.County.GetName]. Arrive at the [inductor_rendezvous.GetHolding] of [inductor_rendezvous.GetName] in a fortnight's time. One of our people will collect you there. Until then, keep safe, and breath not a word of this meeting to any living soul.\n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6033;I shall be there.;;;;;;;;;;x
EVTOPTA_EADAS_6033_TOOLTIP;Prepare for your journey to §Y[inductor_rendezvous.GetName]§!.;;;;;;;;;;x
EVTDESC_EADAS_6034;The journey to [inductor_rendezvous.GetName] was comfortable, however, the dwindling mountain path to [Root.Society.GetName]' stronghold was a torment to tread. As I finally arrive at the castle, my guide brings me to the main tower, where I am introduced to [From.GetSocietyRank] [From.GetFirstName].;;;;;;;;;;x
EVTOPTA_EADAS_6034;I am ready to serve, [From.GetSocietyRank].;;;;;;;;;;x
EVTDESC_EADAS_6035;There is no time for pleasantries, not even a moment to catch my breath, before [From.GetSocietyRank] [From.GetFirstName] leads me through another door, down a spiraling stone staircase. We descend in silence. The stair ends and the [From.GetSocietyRank] opens another door, revealing a gloomy basement room and a figure kneeling on the floor.;;;;;;;;;;x
EVTOPTA_EADAS_6035;Who... who is that?;;;;;;;;;;x
EVTDESC_EADAS_6036_A;"This," [From.GetSocietyRank] [From.GetFirstName] says solemnly as I enter, "is your test". With these words, [From.GetSheHe] pulls the hood from the [assassins_sacrifice.GetManWoman]'s head. It is [assassins_sacrifice.GetTitledFirstName], my [assassins_sacrifice.GetRootRelation]! The shock in [assassins_sacrifice.GetHerHis] eyes must be mirroring my own. "This [assassins_sacrifice.GetManWoman] is an enemy of our faith. End [assassins_sacrifice.GetHerHim]." The [From.GetSocietyRank] offers me a dagger.;;;;;;;;;;x
EVTDESC_EADAS_6036_B;"This," [From.GetSocietyRank] [From.GetFirstName] says solemnly as I enter, "is your test". With these words, [From.GetSheHe] pulls the hood from the [Root.GetManWoman]'s head. It is one of my servants! The shock in [Root.GetHerHis] eyes must be mirroring my own. "This [Root.GetManWoman] is an enemy of our faith. End [Root.GetHerHim]." The [From.GetSocietyRank] offers me a dagger.;;;;;;;;;;x
EVTOPTA_EADAS_6036;If it is the Grand Master's wish.;;;;;;;;;;x
EVTOPTA_EADAS_6036_TOOLTIP;You kill the servant.;;;;;;;;;;x
EVTOPTB_EADAS_6036;I... I can't do this!;;;;;;;;;;x
EVTOPTB_EADAS_6036_TOOLTIP;You refuse and try to escape.\n;;;;;;;;;;x
EVTOPTC_EADAS_6036;I beg of you, let us go. I can pay you, I swear.;;;;;;;;;;x
EVTOPTC_EADAS_6036_TOOLTIP;Attempt to bribe §Y[From.GetSocietyRank] [From.GetFirstName]§! into letting you and your intended victim go.\n;;;;;;;;;;x
EVTDESC_EADAS_6037;The blood is still gushing from the infidel's limp body as I kneel in front of the [From.GetSocietyRank]. [From.GetSheHeCap] recites the oath of [Root.Society.GetName] and I repeat after [From.GetHerHim]. As [From.GetSocietyRank] [From.GetFirstName] speaks the final words, inducting me into the order, [From.GetSheHe] smears the blood across my cheeks. "Stand up, Initiate [Root.GetFirstName]. Welcome to [Root.Society.GetName].";;;;;;;;;;x
EVTOPTA_EADAS_6037;My life for [Root.Religion.GetHighGodNameCap]! Praised be the Reth!;;;;;;;;;;x
EVTDESC_EADAS_6038_A;There is no time to think. As I accept the dagger from [From.GetSocietyRank] [From.GetFirstName] I sink it into [From.GetHerHis] stomach. I free my intended victim and drag [assassins_sacrifice.GetHerHim] after me, up the stairs, without looking back once. You just keep running. By some miracle, no one intervenes.;;;;;;;;;;x
EVTOPTA_EADAS_6038;We might be safe for now, but for how long?;;;;;;;;;;x
EVTOPTA_EADAS_6038_TOOLTIP;You manage to escape from [Root.Society.GetName].\n;;;;;;;;;;x
EVTDESC_EADAS_6038_B;I turn around and run. [From.GetSocietyRank] [From.GetFirstName]'s footsteps get closer behind me and as I reach the top of the stairs, [From.GetSheHe] grips a fistful of my mantle, pulling you down on top of [From.GetHerHis]. Vertigo. Crippling pain. Blind, manic frenzy. By some miracle, you manage to free yourself. You are alive. But for how much longer?;;;;;;;;;;x
EVTOPTB_EADAS_6038;They are... they are coming for me.;;;;;;;;;;x
EVTDESC_EADAS_6038_C;There is no time to think. As I accept the dagger from [From.GetSocietyRank] [From.GetFirstName] I stab at [From.GetHerHim], without a moment's hesitation. The blade strikes only air. [From.GetSheHeCap] moves too quickly. I am on the floor, trapped under the weight of [From.GetHerHis] body. I plead for my life as [From.GetSheHe] wrestles the weapon from my hand.;;;;;;;;;;x
EVTOPTC_EADAS_6038;I... I panicked! Please! You... you have to believe me!;;;;;;;;;;x
EVTDESC_EADAS_6038_D;The look on [From.GetSocietyRank] [From.GetFirstName]'s face is pure disappointment. "We had high hopes for you, [Root.GetFirstName], although it seems we were mistaken." I swallow. Loudly. "This cowardice makes you useless to us. Your gold, on the other hand..." As I leave, my intended victim in tow, my hands will not stop shaking.;;;;;;;;;;x
EVTOPTD_EADAS_6038;You... you have my gratitude.;;;;;;;;;;x
EVTDESC_EADAS_6039;You have no idea what happened as you wake up on the floor of your [Root.GetChamber], a taste of blood in your mouth and a pounding ache along the side of your face. Slowly, the memories come back. A hooded [Root.GetManWoman]... [Root.Society.GetName]. Perhaps you should consider yourself lucky, getting away with only a black eye.;;;;;;;;;;x
EVTOPTA_EADAS_6039;A life of secrecy might not be for me, after all.;;;;;;;;;;x
EVTDESC_EADAS_6041_A;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nThe recruit you sent us, [assassins_recruitee.GetTitledFirstName], has now completed [assassins_recruitee.GetHerHis] induction into the order. I thank you for this contribution – it will not be forgotten.\n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6041_B;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nThe recruit you sent us, [assassins_recruitee.GetTitledFirstName], proved to be disaster. We have spent significant resources in our attempt to induct [assassins_recruitee.GetHerHim], all for naught. This lack of judgment will be remembered.\n\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6202_WAR_ATTACKER;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nI call upon you to defend the true faith. The vile infidel [assassins_target.GetTitledName] is waging war against [elven_tribunal_defender.GetTitledFirstName]. It is your duty to end [assassins_target.GetTitledFirstName] and [assassins_target.GetHerHis] intolerable aggressions. Turn [assassins_target.GetHerHim] into an example to fill our enemies' hearts with dread.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6202_WAR_ATTACKER_VASSAL;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nYet again the true faith is threatened. The infidel [assassins_aggressor.GetTitledName] is waging war against [elven_tribunal_defender.GetTitledFirstName]. We have identified [assassins_target.GetTitledFirstName] as one of his key vassals. End [assassins_target.GetHerHim], [Root.GetSocietyRank], and show the [assassins_aggressor.GetTitle] what fate befalls [Root.Society.GetName]' enemies.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6202_WAR_ATTACKER_COMMANDER;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nYet again our faith is threatened. The infidel [assassins_aggressor.GetTitledName] is waging war against [elven_tribunal_defender.GetTitledFirstName]. We have identified [assassins_target.GetTitledFirstName] as one of his key commanders. End [assassins_target.GetHerHim], [Root.GetSocietyRank], and show the [assassins_aggressor.GetTitle] what fate befalls [Root.Society.GetName]' enemies.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6202_ASSAULTED_MEMBER;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nAn unforgivable crime has been committed. The despicable [assassins_target.GetTitledName] has assaulted one of our own. We cannot let such an insult pass unanswered. Make [assassins_target.GetHerHim] suffer, [Root.GetSocietyRank]. [assassins_target.GetHerHisCap] death will make our enemies think twice before they repeat [assassins_target.GetHerHis] mistake.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6202_KILLED_MEMBER;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nAn unforgivable crime has been committed. The despicable [assassins_target.GetTitledName] has murdered one of our own. We cannot let such an insult pass unanswered. Make [assassins_target.GetHerHim] suffer, [Root.GetSocietyRank]. [assassins_target.GetHerHisCap] death will make our enemies think twice before they repeat [assassins_target.GetHerHis] mistake.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6202_MARKED_FOR_DEATH;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nI call upon you to take a life in the name of the Order. [assassins_target.GetTitledName] is a wicked [assassins_target.GetManWoman], an enemy of all that which we hold dear. End [assassins_target.GetHerHim], [Root.GetSocietyRank], and make sure [assassins_target.GetSheHe] suffers.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
#EVTDESC_EADAS_6202_PERSECUTED_SHIITES;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nFor far too long, the gentle followers of Triarchy of [elven_tribunal_province.GetName] has suffered under the cruel rule of [assassins_target.GetTitledFirstName]. It is your sacred duty to end [assassins_target.GetHerHim] and liberate our people. Turn [assassins_target.GetHerHim] into an example to fill our enemies' hearts with dread.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6202_FALLBACK;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nOur enemies are growing bolder. They spread their vile heresies, poisoning the minds of our people. This cannot continue. [assassins_target.GetTitledName] is one of the worst offenders, [Root.GetSocietyRank]. Turn [assassins_target.GetHerHim] into an example to fill our enemies' hearts with dread.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];As-salвmu 'alaykoum [Root.GetSocietyRank] [Root.GetFirstName]\n\nNos ennemis s'enhardissent. Ils rйpandent leurs viles hйrйsies, empoisonnent les esprits de notre peuple. Cela ne peut pas continuer. [assassins_target.Get_Le_TitledName] commet les pires offenses, [Root.GetSocietyRank]. Faites-en un exemple pour semer la terreur chez nos ennemis.\n\nSignй, [From.GetSocietyRank] [From.GetFirstName];As-salamu alaykum, [Root.GetSocietyRank] [Root.GetFirstName],\n\nunsere Feinde werden immer unverfrorener. Sie verbreiten ihre bцsartigen Hдresien, vergiften die Gedanken unseres Volkes. Das muss ein Ende haben. [assassins_target.GetTitledName] ist einer der schlimmsten Missetдter, [Root.GetSocietyRank]. Statuiere an [Root.Getihmihr] ein Exempel, um die Herzen unserer Feinde mit Angst zu erfьllen.\n\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;Three Blessings, [Root.GetFirstName]:\n\nNuestros enemigos se estбn envalentonando. Escupen viles herejнas que emponzoсan la mente del pueblo. La situaciуn es insostenible y gran parte de la culpa es de [assassins_target.GetTitledName]. Envнa un mensaje intimidatorio a nuestros enemigos.\n\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTOPTA_EADAS_6202;Your wish is my command, [From.GetSocietyRank].;;;;;;;;;;x
EVTOPTA_EADAS_6202_TOOLTIP;Accept the mission to assassinate §Y[assassins_target.GetTitledFirstName]§!.\n;;;;;;;;;;x
EVTOPTB_EADAS_6202;I fear I cannot carry out this mission.;;;;;;;;;;x
EVTOPTB_EADAS_6202_TOOLTIP;Decline the mission to assassinate §Y[assassins_target.GetTitledFirstName]§!.\n;;;;;;;;;;x
EVTDESC_EADAS_6100_A;After having relentlessly studied [plot_target.GetTitledFirstName]'s habits and movements, I finally believe I have found the perfect opportunity for the grand spectacle that will be [plot_target.GetHerHis] death. In a week's time, when [plot_target.GetFirstName] leaves the [plot_target.GetHouseOfWorship] after [plot_target.GetReligiousRite]...;;;;;;;;;;x
EVTDESC_EADAS_6100_B;Not even the thick walls of [plot_target.Host.GetTitledFirstName]'s prison can protect [plot_target.GetTitledFirstName] from Reth's judgment. After having spent many nights watching the rotation of the guards and studied the [plot_target.Host.GetCapitalHolding] from every angle, I think I have found my opening...;;;;;;;;;;x
EVTDESC_EADAS_6100_C;The craven [plot_target.GetTitledFirstName] has gone into hiding, but no walls or disguises can save [plot_target.GetHerHim] from Reth's wrath. I have identified the servant who brings [plot_target.GetHerHim] messages and last night I followed [Root.GetHerHim] all the way to [plot_target.GetFirstName]'s lair.;;;;;;;;;;x
EVTDESC_EADAS_6100_D;The thick [plot_target.Host.Capital.GetHolding] walls of [plot_target.Location.Capital.GetName] might offer [plot_target.GetHerHim] shelter from the epidemic, but the wrath of [Root.Society.GetName] know no such obstacles. After having spent many nights watching the rotation of the guards and studied the [plot_target.Location.GetHolding] from every angle, I think I have found my opening...;;;;;;;;;;x
EVTDESC_EADAS_6100_F;My target, [plot_target.GetTitledName], is hosting a feast in [plot_target.Location.Capital.GetName] and I have successfully infiltrated [plot_target.GetHerHis] kitchen staff. This will be spectacular...;;;;;;;;;;x
